,trackName,uri
0,Last Night,spotify:track:59uQI0PADDKeE6UZDTJEe8
1,Dancin’ In The Country,spotify:track:6Z1bV93BP95h4YjIavrQPf
2,IF YOU GO DOWN (I'M GOIN' DOWN TOO),spotify:track:1jX9wlAgVkAl0fCZqkCI73
3,Next Thing You Know,spotify:track:2lNTHWu2I5Tcz9ukWsV5Jj
4,Angels (Don’t Always Have Wings),spotify:track:5vZoQQ1hH5L2s4Y8G86ksg
5,Whiskey On You,spotify:track:6Tm4Io4ct4w14nB1EUzsY3
6,Hate My Heart,spotify:track:4oGCfTHN1hmXGy5mqmJVc3
7,We Got History,spotify:track:6Awl7JBDQjfm7xkS3LkhDi
8,Love You Anyway,spotify:track:3qXsX3mYSsD1DmAvc3PE3N
9,Everything She Ain’t,spotify:track:3zAOcNGOFq5Q1OsN0tcxA0
10,That's What Tequila Does,spotify:track:6kCFt2ATuMIE5H9zVEJXei
11,I'll Be Lovin' You,spotify:track:1io22Thmgw4SvhVBNawJD5
12,Girl In Mine,spotify:track:2DPqR0kuZVjrOF5oxIRYPy
13,Memory Lane,spotify:track:5kB6WithhB8Iv08EMNmAbt
14,Damn You,spotify:track:2DvOwcQd7RB5IV7MdlwpvN
