,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,1,2,3,4,trackName
0,0.614,0.953,2,-4.162,0.0688,0.119,0,0.331,0.593,154.969,0,1,0,0,Capo
0,0.742,0.844,2,-4.622,0.0479,0.000634,0,0.0659,0.416,131.986,0,1,0,0,I Don't Like
0,0.804,0.946,7,-5.949,0.352,0.002,0,0.359,0.745,150.141,0,1,0,0,Mr. Glock
0,0.711,0.611,1,-5.453,0.33,0.00588,0,0.23,0.144,134.093,0,1,0,0,family ties (with Kendrick Lamar)
0,0.935,0.552,10,-9.373,0.335,0.111,0,0.0952,0.615,99.993,0,1,0,0,Faucet Failure
0,0.74,0.586,0,-5.933,0.0387,0.00488,0,0.128,0.408,130.012,0,1,0,0,No Jewelry
0,0.803,0.511,3,-9.62,0.216,0.159,0,0.119,0.769,130.058,0,1,0,0,Memphis
0,0.731,0.732,7,-6.282,0.0896,0.15,0,0.307,0.351,92.975,0,1,0,0,Conteo
0,0.884,0.445,1,-10.58,0.418,0.222,0,0.112,0.851,125.008,0,1,0,0,Unbothered
0,0.867,0.744,2,-5.171,0.227,0.268,0,0.0713,0.645,84.005,0,1,0,0,Walk Em Down (feat. Roddy Ricch)
0,0.876,0.733,10,-4.478,0.333,0.0208,0,0.0999,0.962,154.904,0,1,0,0,Make No Sense
0,0.894,0.511,2,-4.768,0.421,0.0251,0,0.14,0.567,120.077,0,1,0,0,Shotta Flow (feat. Blueface) [Remix]
0,0.845,0.631,7,-8.206,0.216,0.188,0,0.0806,0.545,111.983,0,1,0,0,Hot (Remix) [feat. Gunna and Travis Scott]
0,0.875,0.568,11,-8.619,0.34,0.0357,0,0.113,0.648,140.082,0,1,0,0,Nameless
0,0.808,0.907,0,-4.027,0.0865,0.0592,0,0.139,0.721,158.994,0,1,0,0,Bless Em (Takeoff feat. Travis Scott)
